464 3414 -1 (0, 0) (0, 0) 0 0
464 3981 -1 (0, 0) (0, 0) 0 0
464 4641 -1 (0, 0) (0, 0) 0 0
464 5411 -1 (0, 0) (0, 0) 0 0
464 6309 -1 (0, 0) (0, 0) 0 0
464 7356 -1 (0, 0) (0, 0) 0 0
464 8576 -1 (0, 0) (0, 0) 0 0
464 10000 -1 (0, 0) (0, 0) 0 0
541 100 -1 (0, -1) (0, -1) 0 0
541 116 -1 (0, -1) (0, -1) 0 0
541 135 -1 (0, -1) (0, -1) 0 0
541 158 -1 (0, -1) (0, -1) 0 0
541 184 -1 (0, -1) (0, -1) 0 0
541 215 -1 (0, -1) (0, -1) 0 0
541 251 -1 (0, -1) (0, -1) 0 0
541 292 -1 (0, -1) (0, -1) 0 0
541 341 -1 (0, -1) (0, -1) 0 0
541 398 -1 (0, -1) (0, -1) 0 0
541 464 -1 (0, -1) (0, -1) 0 0
541 541 -1 (0, -1) (0, -1) 0 0
541 630 -1 (0, 0) (0, 0) 0 0
541 735 1 (1, 0) (0, 0) 0 0
541 857 1 (1, 0) (0, 0) 0 0
541 1000 1 (1, 0) (0, 0) 0 0
541 1165 1 (1, 0) (0, 0) 0 0
541 1359 -1 (0, 0) (0, 0) 0 0
541 1584 -1 (0, 0) (0, 0) 0 0
541 1847 -1 (0, 0) (0, 0) 0 0
541 2154 -1 (0, 0) (0, 0) 0 0
541 2511 -1 (0, 0) (0, 0) 0 0
541 2928 -1 (0, 0) (0, 0) 0 0
541 3414 -1 (0, 0) (0, 0) 0 0
541 3981 -1 (0, 0) (0, 0) 0 0
541 4641 -1 (0, 0) (0, 0) 0 0
541 5411 -1 (0, 0) (0, 0) 0 0
541 6309 -1 (0, 0) (0, 0) 0 0
541 7356 -1 (0, 0) (0, 0) 0 0
541 8576 -1 (0, 0) (0, 0) 0 0
541 10000 -1 (0, 0) (0, 0) 0 0
630 100 -1 (0, -1) (0, -1) 0 0
630 116 -1 (0, -1) (0, -1) 0 0
630 135 -1 (0, -1) (0, -1) 0 0
630 158 -1 (0, -1) (0, -1) 0 0
630 184 -1 (0, -1) (0, -1) 0 0
630 215 -1 (0, -1) (0, -1) 0 0
630 251 -1 (0, -1) (0, -1) 0 0
630 292 -1 (0, -1) (0, -1) 0 0
630 341 -1 (0, -1) (0, -1) 0 0
630 398 -1 (0, -1) (0, -1) 0 0
630 464 -1 (0, -1) (0, -1) 0 0
630 541 -1 (0, -1) (0, -1) 0 0
630 630 -1 (0, -1) (0, -1) 0 0
630 735 -1 (0, 0) (0, 0) 0 0
630 857 1 (1, 0) (0, 0) 0 0
630 1000 1 (1, 0) (0, 0) 0 0
630 1165 1 (1, 0) (0, 0) 0 0
630 1359 1 (1, 0) (0, 0) 0 0
630 1584 -1 (0, 0) (0, 0) 0 0
630 1847 -1 (0, 0) (0, 0) 0 0
630 2154 -1 (0, 0) (0, 0) 0 0
630 2511 -1 (0, 0) (0, 0) 0 0
630 2928 -1 (0, 0) (0, 0) 0 0
630 3414 -1 (0, 0) (0, 0) 0 0
630 3981 -1 (0, 0) (0, 0) 0 0
630 4641 -1 (0, 0) (0, 0) 0 0
630 5411 -1 (0, 0) (0, 0) 0 0
630 6309 -1 (0, 0) (0, 0) 0 0
630 7356 -1 (0, 0) (0, 0) 0 0
630 8576 -1 (0, 0) (0, 0) 0 0
630 10000 -1 (0, 0) (0, 0) 0 0
735 100 -1 (0, -1) (0, -1) 0 0
735 116 -1 (0, -1) (0, -1) 0 0
735 135 -1 (0, -1) (0, -1) 0 0
